,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,Score for each category,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,07-11-2020 09:43,photo,studying,negative,0,54269,
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17-06-2021 12:22,photo,studying,negative,10,54269,
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18-04-2021 05:13,photo,studying,negative,15,54269,
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,06-01-2021 19:13,photo,studying,negative,0,54269,
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23-08-2020 12:25,photo,studying,positive,30,54269,
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,07-12-2020 06:27,photo,studying,neutral,35,54269,
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11-04-2021 17:35,photo,studying,positive,70,54269,
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-01-2021 08:32,photo,studying,negative,5,54269,
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,01-04-2021 22:54,photo,studying,neutral,35,54269,
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,04-08-2020 05:05,photo,studying,positive,65,54269,
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,07-11-2020 08:36,photo,studying,neutral,20,54269,
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,02-11-2020 06:28,photo,studying,negative,15,54269,
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,01-11-2020 01:16,photo,studying,positive,30,54269,
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,07-10-2020 18:39,photo,studying,negative,5,54269,
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,03-09-2020 18:51,photo,studying,negative,15,54269,
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-02-2021 05:09,photo,studying,positive,75,54269,
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23-09-2020 06:24,photo,studying,neutral,35,54269,
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-02-2021 11:37,photo,studying,neutral,20,54269,
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,22-05-2021 19:44,photo,studying,positive,30,54269,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,31-01-2021 16:03,photo,studying,positive,45,54269,
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,20-11-2020 17:26,photo,studying,neutral,35,54269,
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,11-04-2021 20:47,photo,studying,negative,12,54269,
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,13-06-2021 16:46,photo,studying,positive,50,54269,
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,11-04-2021 14:29,photo,studying,positive,60,54269,
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,02-03-2021 19:21,photo,studying,negative,12,54269,
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-06-2020 18:44,photo,studying,negative,5,54269,
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,09-05-2021 21:05,photo,studying,negative,5,54269,
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,04-08-2020 23:58,photo,studying,positive,70,54269,
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,28-08-2020 03:57,photo,studying,positive,75,54269,
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,25-08-2020 08:21,photo,studying,positive,45,54269,
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,20-04-2021 23:48,photo,studying,negative,15,54269,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,07-03-2021 12:40,photo,studying,positive,30,54269,
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-05-2021 03:21,photo,studying,neutral,20,54269,
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-01-2021 11:03,photo,studying,positive,75,54269,
